encoded_feature,coefficient,odds_ratio,absolute_coefficient
purpose_education,0.901684359799398,2.4637494587501676,0.901684359799398
checking_status_no checking,-0.8871117815905966,0.41184353071277374,0.8871117815905966
credit_history_critical/other existing credit,-0.8005794638601855,0.4490686696440846,0.8005794638601855
purpose_used car,-0.7148198944689128,0.48928022593611403,0.7148198944689128
property_magnitude_no known property,0.713709631676366,2.0415506296213506,0.713709631676366
checking_status_<0,0.6578341865517492,1.930606469681899,0.6578341865517492
savings_status_<100,0.6402115372200974,1.8968820980329784,0.6402115372200974
savings_status_>=1000,-0.628173122935538,0.5335656700515322,0.628173122935538
housing_for free,-0.6110372179720799,0.5427875879610967,0.6110372179720799
foreign_worker_no,-0.5815314237153386,0.5590415811468675,0.5815314237153386
foreign_worker_yes,0.5677811947479373,1.7643479606703876,0.5677811947479373
housing_rent,0.5612440833791948,1.7528518382140856,0.5612440833791948
credit_history_no credits/all paid,0.5407547352427403,1.7173024819039637,0.5407547352427403
employment_4<=X<7,-0.5392828176243201,0.5831663390543297,0.5392828176243201
purpose_new car,0.5161576130770366,1.6755770494410114,0.5161576130770366
personal_status_male single,-0.5013794971835925,0.6056945292282188,0.5013794971835925
purpose_other,-0.48180492229677047,0.6176675431783619,0.48180492229677047
other_parties_guarantor,-0.45119537445387664,0.6368664025966211,0.45119537445387664
purpose_repairs,0.44257172731959754,1.5567054971220404,0.44257172731959754
personal_status_male div/sep,0.4373044828584344,1.548527505362976,0.4373044828584344
