threshold,approval_rate,approved_bad_rate,false_negative,false_positive,business_cost_per_application
0.05,0.00375,0.0,0,557,0.69625
0.06,0.00875,0.0,0,553,0.69125
0.07,0.0275,0.0,0,538,0.6725
0.08,0.04875,0.0,0,521,0.65125
0.09,0.075,0.016666666666666666,1,501,0.6325
0.09999999999999999,0.09625,0.025974025974025976,2,485,0.61875
0.10999999999999999,0.12375,0.030303030303030304,3,464,0.59875
0.12,0.1525,0.02459016393442623,3,441,0.57
0.13,0.18125,0.041379310344827586,6,421,0.56375
0.13999999999999999,0.20125,0.037267080745341616,6,405,0.54375
0.14999999999999997,0.2275,0.04945054945054945,9,387,0.54
0.15999999999999998,0.2675,0.06074766355140187,13,359,0.53
0.16999999999999998,0.29375,0.07234042553191489,17,342,0.53375
0.18,0.31625,0.07509881422924901,19,326,0.52625
0.19,0.33375,0.07116104868913857,19,312,0.50875
0.19999999999999996,0.3575,0.07342657342657342,21,295,0.5
0.20999999999999996,0.3775,0.08278145695364239,25,283,0.51
0.21999999999999997,0.39625,0.08832807570977919,28,271,0.51375
0.22999999999999998,0.40625,0.09230769230769231,30,265,0.51875
0.24,0.42125,0.10089020771513353,34,257,0.53375
0.24999999999999994,0.44125,0.11614730878186968,41,248,0.56625
0.25999999999999995,0.46625,0.12332439678284182,46,233,0.57875
0.26999999999999996,0.48,0.11979166666666667,46,222,0.565
0.27999999999999997,0.50625,0.11851851851851852,48,203,0.55375
0.29,0.52,0.12740384615384615,53,197,0.5775
0.3,0.54125,0.13394919168591224,58,185,0.59375
0.30999999999999994,0.565,0.1415929203539823,64,172,0.615
0.31999999999999995,0.5825,0.14377682403433475,67,161,0.62
0.32999999999999996,0.6,0.15208333333333332,73,153,0.6475
0.33999999999999997,0.62625,0.1596806387225549,80,139,0.67375
0.3499999999999999,0.64,0.15625,80,128,0.66
0.35999999999999993,0.6575,0.16539923954372623,87,121,0.695
0.36999999999999994,0.675,0.17407407407407408,94,114,0.73
0.37999999999999995,0.6875,0.1781818181818182,98,108,0.7475
0.38999999999999996,0.69875,0.1806797853309481,101,102,0.75875
0.3999999999999999,0.7225,0.18858131487889274,109,91,0.795
0.4099999999999999,0.7325,0.19112627986348124,112,86,0.8075
0.41999999999999993,0.75125,0.19800332778702162,119,78,0.84125
0.42999999999999994,0.76125,0.20361247947454844,124,75,0.86875
0.43999999999999995,0.76875,0.2032520325203252,125,70,0.86875
0.4499999999999999,0.7875,0.20793650793650795,131,61,0.895
0.4599999999999999,0.8025,0.21339563862928349,137,55,0.925
0.4699999999999999,0.815,0.2223926380368098,145,53,0.9725
0.4799999999999999,0.82125,0.2222222222222222,146,49,0.97375
0.48999999999999994,0.83375,0.22488755622188905,150,43,0.99125
0.49999999999999994,0.84625,0.23042836041358936,156,39,1.02375
0.5099999999999999,0.85625,0.23503649635036497,161,36,1.05125
0.5199999999999999,0.87125,0.2467718794835007,172,35,1.11875
0.5299999999999999,0.87875,0.24893314366998578,175,32,1.13375
0.5399999999999999,0.89,0.2542134831460674,181,29,1.1675
0.5499999999999999,0.89875,0.25869262865090403,186,27,1.19625
0.5599999999999999,0.90875,0.2627235213204952,191,24,1.22375
0.57,0.91625,0.2660300136425648,195,22,1.24625
0.58,0.925,0.2689189189189189,199,19,1.2675
0.59,0.935,0.27406417112299464,205,17,1.3025
0.6,0.9425,0.27851458885941643,210,16,1.3325
