pd_band,reference_share,current_share,psi_component,total_psi
"(-inf, 0.0174]",0.10106716886377903,0.0,1.1646526250416498,2.4035008468730803
"(0.0174, 0.0199]",0.09918392969240426,0.0,1.14108545850772,2.4035008468730803
"(0.0199, 0.0239]",0.10043942247332077,0.10826899823272254,0.0005877141894440243,2.4035008468730803
"(0.0239, 0.0282]",0.09918392969240426,0.11589619570272533,0.002602391779277358,2.4035008468730803
"(0.0282, 0.0334]",0.10043942247332077,0.08678262487210492,0.0019958971336176893,2.4035008468730803
"(0.0334, 0.0422]",0.10106716886377903,0.12910426937029112,0.006864404198250578,2.4035008468730803
"(0.0422, 0.0536]",0.09855618330194602,0.15049762812761602,0.021987699084693568,2.4035008468730803
"(0.0536, 0.0721]",0.10043942247332077,0.1322667658822435,0.008760910933076464,2.4035008468730803
"(0.0721, 0.0922]",0.09918392969240426,0.0899451213840573,0.0009033267416800503,2.4035008468730803
"(0.0922, inf]",0.10043942247332077,0.18723839642823922,0.05406041926367064,2.4035008468730803
