ifrs9_stage,accounts,exposure,average_pd,average_lgd,ecl_provision,exposure_share,provision_share,coverage_ratio
Stage 1,1637,7274448.56,0.06297434208918753,0.5466951740989615,223385.9715122486,0.971341326557565,0.7656121967323745,0.030708303133873367
Stage 2,20,85613.78,0.09010575000000001,0.572,5571.29330240468,0.011431822213175088,0.019094529862456158,0.0650747263163089
Stage 3,18,129013.19,0.09717233333333333,0.5133333333333333,62817.0466,0.0172268512292598,0.21529327340516946,0.4869040646154087
